Protein_ID	Species	Orthogroup	OG_Median_Intensity_All	OG_Median_Intensity_GramPos	OG_Median_Intensity_GramNeg	Protein_Mean_Relative_Intensity	Localization
WP_012419976.1	A_muciniphila	OG0000121	0.0003247294078128	0.0003247294078128	0.0031753408360946	0.145216112142386	Cytoplasmic
WP_012420542.1	A_muciniphila	OG0000097	0.0023626067079147	0.0009425286214457	0.003053136879894	0.0727146618394495	Cytoplasmic
WP_042448069.1	A_muciniphila	OG0000131	0.0004877585018821	0.0011348632750595	0.0002936703762045	0.0701707101353108	Cytoplasmic
WP_012420082.1	A_muciniphila	OG0000089	0.0043370286542728	0.0040560688446525	0.0057208235164158	0.0457636064981578	Cytoplasmic
WP_012420081.1	A_muciniphila	OG0000067	0.0041002303236036	0.0041002303236036	0.0037735474794168	0.0377289653570068	Cytoplasmic
WP_012420052.1	A_muciniphila	OG0000650	0.01906683569696		0.01906683569696	0.0369940070418245	Outer Membrane
WP_012420897.1	A_muciniphila	OG0000444	0.0040426221324518	0.0020477615439957	0.0369374860068628	0.0369374860068628	Cytoplasmic
WP_012419946.1	A_muciniphila	OG0000292	9.73016627135e-05	5.72023292125e-05	0.0325446739354159	0.0325446739354159	Cytoplasmic
WP_012420455.1	A_muciniphila	OG0000019	0.0060075253119252	0.0073609893217877	0.0040936866754645	0.0228297516005235	Cytoplasmic
WP_012419537.1	A_muciniphila	OG0000061	0.0005143271491934	0.0005023244351565	0.0005898745745535	0.0207231017432809	Cytoplasmic
WP_012420014.1	A_muciniphila	unique				0.0192754403085445	Cytoplasmic
WP_146020878.1	A_muciniphila	OG0000430	0.0017638590225594		0.0017638590225594	0.0179960053595443	Outer Membrane
WP_012420593.1	A_muciniphila	OG0000073	0.0017554684155734	0.0021620679248264	0.000896961597179	0.0154021511246506	Cytoplasmic
WP_167525133.1	A_muciniphila	OG0000076	7.6855186419e-05		7.6855186419e-05	0.0151116420511428	Outer Membrane
WP_128252034.1	A_muciniphila	unique				0.0128259753749764	Outer Membrane
WP_143245853.1	A_muciniphila	unique				0.0117252010707413	Periplasmic
WP_012419354.1	A_muciniphila	OG0000057	0.0040757201457087	0.0023258921047596	0.0051830251581001	0.0114513615186991	Cytoplasmic
WP_094137907.1	A_muciniphila	unique				0.010660544759335	Extracellular
WP_012420229.1	A_muciniphila	OG0000431	0.0004289184068741		0.0004289184068741	0.0094800568800727	Cytoplasmic
WP_012419492.1	A_muciniphila	OG0000083	0.0005162666376311	0.0005162666376311	0.0023411966546476	0.008296555844401	Cytoplasmic
WP_065528913.1	A_muciniphila	OG0000658	0.0040708774772539	0.0002528370151016	0.0078889179394062	0.0078889179394062	Cytoplasmic
WP_233420577.1	A_muciniphila	unique				0.0076608479952227	Cytoplasmic
WP_128153512.1	A_muciniphila	unique				0.0076526464834871	Cytoplasmic
WP_012419757.1	A_muciniphila	OG0000044	0.0002174129842175	0.0001490636744827	0.0006417947641899	0.0072546409582755	Cytoplasmic
WP_012419715.1	A_muciniphila	OG0000118	0.0007724010753144	0.0011189223098048	0.0006502857807641	0.0063187378443022	Cytoplasmic
WP_042447602.1	A_muciniphila	unique				0.0060322456519778	Periplasmic
WP_022197872.1	A_muciniphila	OG0000417	0.0051099036592964	0.0020855188577557	0.0055690115898687	0.0060281195204411	Cytoplasmic
WP_012419726.1	A_muciniphila	OG0000064	0.0043060727573618	0.0044338184814209	0.0037019239164009	0.0053406125011642	Cytoplasmic
WP_065529515.1	A_muciniphila	OG0000412	3.38098097629e-05		3.38098097629e-05	0.0053262761901338	Periplasmic
WP_102746906.1	A_muciniphila	unique				0.0051936161099484	Cytoplasmic
WP_012420089.1	A_muciniphila	OG0000034	0.0050946310465901	0.0175774444574719	0.00035813106724	0.0050946310465901	Cytoplasmic
WP_012420924.1	A_muciniphila	OG0000127	0.0004121347570346	0.0020474015262947	7.23342036182e-05	0.0050293704269824	Cytoplasmic
WP_012420573.1	A_muciniphila	OG0000202	0.0032331407056946		0.0032331407056946	0.0048243605429509	Extracellular
WP_012421001.1	A_muciniphila	OG0000298	0.0007679594741426	0.0004327273295738	0.004655615737092	0.004655615737092	Cytoplasmic
WP_012419358.1	A_muciniphila	OG0000043	0.0027816240283703	0.0027816240283703	0.0023164690546297	0.0046401366371539	Cytoplasmic
WP_012420349.1	A_muciniphila	unique				0.0045776032610152	Outer Membrane
WP_012420746.1	A_muciniphila	unique				0.0044809890004187	Cytoplasmic
WP_012420450.1	A_muciniphila	unique				0.0043524672561784	Outer Membrane
WP_012419448.1	A_muciniphila	unique				0.0043136364454267	Cytoplasmic Membrane
WP_102746805.1	A_muciniphila	OG0000046	0.0005859744781744	0.0010111144990709	5.86870005203e-05	0.0042713739487085	Cytoplasmic
WP_102742101.1	A_muciniphila	OG0000028	0.0020157102754366	0.0021119986005601	0.0019194219503132	0.0040787747415843	Outer Membrane
WP_022198432.1	A_muciniphila	unique				0.004077977812522	Periplasmic
WP_065530034.1	A_muciniphila	OG0000451	0.0002448581170758		0.0002448581170758	0.0038868943628778	Outer Membrane
WP_012419915.1	A_muciniphila	OG0000287	0.0010614184432993	0.0007113933557586	0.0023772286137807	0.0038077309140111	Cytoplasmic
WP_012419186.1	A_muciniphila	unique				0.0037603855579142	Cytoplasmic
WP_012420896.1	A_muciniphila	unique				0.0037018234234534	Cytoplasmic
WP_102744432.1	A_muciniphila	OG0000644	0.0019712292531148		0.0019712292531148	0.0035276960445754	Periplasmic
WP_012420323.1	A_muciniphila	OG0000202	0.0032331407056946		0.0032331407056946	0.0034186492619494	Extracellular
WP_012420541.1	A_muciniphila	OG0000096	0.0015182500049804	0.0013153166818929	0.0017211833280678	0.0033564184160373	Cytoplasmic
WP_012419636.1	A_muciniphila	OG0000202	0.0032331407056946		0.0032331407056946	0.0032331407056946	Extracellular
WP_012419300.1	A_muciniphila	OG0000196	0.0001047847133529	6.5643155993e-06	0.0016338172729554	0.0031628498325579	Cytoplasmic
WP_031930376.1	A_muciniphila	unique				0.0031471549842488	Cytoplasmic
WP_012420517.1	A_muciniphila	OG0000025	0.0003697797786357	0.000219699522731	0.0004984965100482	0.0031332098589822	Periplasmic
WP_012419221.1	A_muciniphila	OG0000414	0.0001073954877003		0.0001073954877003	0.0030778911201994	Cytoplasmic Membrane
WP_012420185.1	A_muciniphila	unique				0.0030693381209593	Extracellular
